,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,64.0,88,98,1.01,AU,1615145598
1,mareeba,-17.0,145.4333,77.0,83,75,5.75,AU,1615145678
2,tooele,40.5308,-112.2983,57.99,50,1,3.44,US,1615145678
3,arraial do cabo,-22.9661,-42.0278,78.8,83,75,9.22,BR,1615145678
4,kaeo,-35.1,173.7833,62.01,83,55,5.01,NZ,1615145678
5,yellowknife,62.456,-114.3525,12.0,72,20,14.97,CA,1615145678
6,hobart,-42.8794,147.3294,53.01,93,75,2.28,AU,1615145511
7,saskylakh,71.9167,114.0833,-30.08,83,99,3.24,RU,1615145678
8,ushuaia,-54.8,-68.3,44.6,70,40,28.77,AR,1615145679
9,bambous virieux,-20.3428,57.7575,81.0,89,40,6.91,MU,1615145679
10,ciudad guayana,8.3533,-62.6528,92.3,43,82,11.65,VE,1615145679
11,rikitea,-23.1203,-134.9692,80.31,79,100,18.79,PF,1615145679
12,kiama,-34.6833,150.8667,69.01,79,49,8.99,AU,1615145679
13,avera,33.194,-82.5271,57.2,21,1,8.05,US,1615145679
14,mahebourg,-20.4081,57.7,78.8,89,40,6.91,MU,1615145471
15,bathsheba,13.2167,-59.5167,82.4,57,75,25.32,BB,1615145679
16,cayenne,4.9333,-52.3333,84.2,74,75,14.97,GF,1615145680
17,chicama,-7.8447,-79.1469,73.4,83,40,12.66,PE,1615145680
18,weihe,32.9952,105.3247,43.09,86,100,1.05,CN,1615145680
19,tutoia,-2.7619,-42.2744,84.2,79,75,11.5,BR,1615145680
20,soe,-9.8607,124.284,65.59,100,0,2.1,ID,1615145680
21,provideniya,64.3833,-173.3,30.74,97,100,18.32,RU,1615145681
22,awjilah,29.1081,21.2869,67.96,25,0,10.38,LY,1615145681
23,albany,42.6001,-73.9662,34.0,39,56,1.99,US,1615145681
24,vaini,-21.2,-175.2,82.4,89,75,8.05,TO,1615145681
25,pimentel,-6.8367,-79.9342,82.4,61,0,17.27,PE,1615145681
26,mar del plata,-38.0023,-57.5575,80.6,41,0,13.8,AR,1615145436
27,saint george,37.1041,-113.5841,70.0,19,1,4.12,US,1615145466
28,salalah,17.0151,54.0924,78.8,73,0,3.44,OM,1615145682
29,kushmurun,52.4503,64.6311,18.93,97,100,14.0,KZ,1615145682
30,labuhan,-6.8844,112.2051,77.09,87,100,6.78,ID,1615145682
31,mataura,-46.1927,168.8643,52.0,71,89,11.01,NZ,1615145682
32,puerto ayora,-0.7393,-90.3518,84.2,79,20,11.5,EC,1615145682
33,punta arenas,-53.15,-70.9167,46.4,66,40,36.82,CL,1615145682
34,urengoy,65.9667,78.3667,-19.34,88,87,0.16,RU,1615145682
35,hobyo,5.3505,48.5268,78.22,80,16,15.17,SO,1615145683
36,thompson,55.7435,-97.8558,37.4,75,75,9.22,CA,1615145408
37,kodiak,57.79,-152.4072,37.4,60,1,8.05,US,1615145389
38,carnarvon,-24.8667,113.6333,77.0,100,0,9.22,AU,1615145683
39,havre-saint-pierre,50.2334,-63.5986,26.6,74,90,20.71,CA,1615145683
40,lishui,28.4604,119.9103,47.71,85,98,2.35,CN,1615145683
41,souillac,-20.5167,57.5167,78.8,89,40,6.91,MU,1615145683
42,presidencia roque saenz pena,-26.7852,-60.4388,96.01,28,0,1.99,AR,1615145684
43,bluff,-46.6,168.3333,52.0,71,86,11.01,NZ,1615145684
44,torbay,47.6666,-52.7314,33.01,64,75,19.57,CA,1615145684
45,puerto leguizamo,-0.1934,-74.7819,76.44,89,100,4.27,CO,1615145684
46,east london,-33.0153,27.9116,68.0,88,75,9.22,ZA,1615145684
47,coquimbo,-29.9533,-71.3436,64.4,82,75,13.8,CL,1615145685
48,tommot,58.9564,126.2925,8.83,90,100,2.59,RU,1615145685
49,ugoofaaru,5.6667,73.0,82.92,66,0,6.02,MV,1615145685
50,taoudenni,22.6783,-3.9836,74.25,18,0,9.1,ML,1615145415
51,avarua,-21.2078,-159.775,82.4,83,100,3.44,CK,1615145685
52,krasnoselkup,65.7,82.4667,-16.01,89,79,5.03,RU,1615145686
53,vryburg,-26.9566,24.7284,70.68,25,0,5.93,ZA,1615145686
54,lebu,-37.6167,-73.65,66.22,80,57,13.18,CL,1615145686
